date,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,10%,30%,70%,90%,Min,Median (POR),Max
10-01,27.86,36.14,40.82,41.18,42.8,41.72,39.92,45.68,,32.54,32.72,41.72,44.96,34.34,42.62,47.66,42.62,35.06,45.68,32.54,43.7,41.0,38.12,44.24,20.12,48.38,46.22,41.36,43.52,30.2,50.9,41.36,34.16,44.06,44.42,42.8,36.14,34.88,44.6,46.94,32.54,36.338,43.682,45.842,20.12,41.54,50.9
10-02,31.82,36.68,43.7,40.82,42.08,34.34,40.82,34.52,,33.44,30.92,41.72,40.28,33.8,41.0,47.84,42.44,34.7,35.42,,45.68,45.5,32.18,41.18,28.4,46.4,43.16,42.8,41.9,26.42,44.42,42.8,32.0,42.98,37.04,43.16,36.32,35.24,35.96,44.96,31.928,35.132,42.512,44.852,26.42,40.82,47.84
10-03,36.5,30.02,42.62,40.82,40.46,30.02,41.72,43.7,,37.4,36.5,34.52,35.6,35.6,37.22,44.06,41.72,26.6,36.5,33.44,47.48,35.96,37.76,40.28,36.68,45.32,44.06,42.98,40.1,31.28,39.38,34.16,36.14,42.98,41.72,41.9,38.66,34.16,30.02,44.6,30.902,35.978,41.63,43.808,26.6,37.58,47.48
10-04,32.9,29.3,42.62,38.12,33.08,36.14,33.08,40.82,,40.46,24.44,36.86,40.64,21.56,37.4,33.8,41.36,29.48,35.24,34.16,36.86,41.18,42.08,35.78,33.98,42.98,39.92,43.7,19.4,35.96,41.18,28.4,44.24,37.94,45.5,42.8,41.72,34.52,32.54,46.4,29.03,33.998,40.802,42.854,19.4,36.86,45.5
10-05,33.8,31.28,41.18,37.04,31.28,42.8,33.62,39.92,,34.7,19.22,37.76,43.16,19.22,43.34,35.6,35.78,32.0,36.14,32.36,34.16,41.18,42.44,33.44,25.16,43.88,36.5,40.1,21.92,36.32,39.38,30.92,43.88,35.6,36.68,42.8,45.32,37.22,34.88,45.86,29.192,33.836,39.866,43.214,19.22,36.23,45.32
10-06,256.64,36.68,40.1,33.26,32.9,42.98,25.16,38.66,,27.68,26.6,40.46,44.6,26.06,39.92,38.12,38.12,32.54,39.38,31.64,35.24,41.36,33.44,29.12,23.0,42.26,26.6,31.82,32.0,38.84,38.84,24.44,32.54,34.88,34.34,45.5,40.46,37.94,37.94,44.6,26.438,32.54,38.84,42.476,23.0,35.96,256.64
10-07,31.82,34.7,41.9,33.08,32.36,34.16,39.92,19.94,,26.24,35.96,40.82,38.3,34.52,30.2,37.04,36.86,35.96,39.56,32.72,38.12,38.66,22.64,32.72,32.0,41.0,23.72,28.76,40.46,40.46,38.66,29.12,37.04,37.22,37.22,47.12,40.28,37.04,39.56,40.82,28.004,32.756,38.624,40.568,19.94,36.95,47.12
10-08,31.82,33.98,40.46,35.24,34.34,21.92,41.36,10.94,,28.94,33.44,42.62,23.9,39.92,33.44,37.04,37.4,35.78,39.2,34.88,40.28,34.88,33.8,37.4,29.3,31.46,23.9,34.16,40.46,43.52,41.72,36.5,41.36,28.22,39.38,44.6,39.56,35.96,39.38,40.28,26.924,33.818,39.38,41.468,10.94,35.87,44.6
10-09,35.96,35.96,39.56,30.02,37.22,20.66,42.44,33.98,,31.28,35.06,43.16,31.46,39.74,38.48,32.0,25.7,34.88,43.34,,30.74,32.0,41.0,42.08,28.4,29.84,25.16,38.12,39.92,37.04,42.98,36.68,23.36,27.32,41.36,44.42,32.18,36.5,39.02,39.74,26.672,31.892,39.128,42.656,20.66,35.96,44.42
10-10,35.24,34.34,42.08,33.98,40.82,30.74,43.88,33.98,,34.88,36.86,42.44,38.48,38.84,41.18,35.24,19.58,37.22,40.64,,25.7,29.84,42.98,40.28,36.32,33.08,30.74,40.1,29.48,35.78,43.52,38.3,26.78,26.24,16.7,46.04,28.4,35.06,38.12,42.26,26.564,33.8,39.092,42.656,16.7,35.78,46.04
10-11,30.74,25.88,38.84,37.4,41.54,29.3,44.06,38.48,,37.04,41.18,42.98,34.7,36.5,41.72,37.22,24.62,39.74,34.34,33.08,25.88,30.74,42.26,34.16,33.98,34.7,32.54,43.52,27.5,37.04,42.8,37.04,37.76,28.04,17.6,34.34,32.54,37.22,32.18,42.98,27.014,32.594,37.724,42.422,17.6,35.6,44.06
10-12,256.64,18.5,31.1,37.04,41.0,28.22,42.62,39.92,31.82,35.96,36.14,42.08,16.88,39.02,41.18,33.44,19.76,31.82,40.1,33.8,28.22,31.46,42.44,20.12,36.86,36.5,33.44,34.52,27.5,29.12,42.44,34.34,41.0,27.32,28.4,34.34,25.52,35.96,24.98,42.8,24.008,29.912,36.968,42.152,16.88,34.34,256.64
10-13,256.64,17.06,34.34,36.14,42.26,37.04,39.56,43.16,31.82,38.12,26.06,40.1,18.14,40.28,41.36,29.48,26.96,33.26,32.72,28.58,30.38,31.64,33.98,19.94,33.08,35.96,34.7,29.3,35.06,26.42,42.62,38.3,39.02,29.48,32.18,43.7,22.1,35.96,26.24,42.8,25.268,29.84,37.688,42.332,17.06,33.98,256.64
10-14,23.54,26.24,32.0,36.32,42.26,39.92,37.76,41.72,33.44,31.28,32.54,36.68,28.94,42.98,39.74,27.86,32.54,32.72,33.08,32.0,37.76,31.46,28.76,28.22,33.26,38.12,37.4,32.0,25.88,35.78,43.52,44.24,30.56,20.48,35.6,47.66,19.58,35.78,25.88,41.72,25.88,31.352,37.112,42.404,19.58,33.08,47.66
10-15,26.42,30.2,31.28,37.04,33.44,38.48,40.1,35.6,,28.4,37.94,36.14,33.08,36.32,40.28,29.84,31.1,32.18,39.56,33.44,37.22,32.18,26.96,30.02,33.08,38.3,41.18,35.24,21.56,41.18,43.88,46.58,33.08,13.1,33.98,34.88,17.96,37.04,31.28,41.36,26.798,31.37,37.04,40.55,13.1,33.71,46.58
10-16,256.64,31.82,30.74,37.58,26.24,39.2,44.42,33.98,30.2,23.36,37.22,28.58,34.7,24.8,23.36,30.56,33.62,31.82,40.46,38.66,35.78,29.84,29.84,32.9,31.64,39.2,44.78,39.02,19.22,42.44,42.8,46.58,36.5,25.7,38.66,36.32,30.74,35.78,38.66,36.5,25.52,30.74,38.66,43.124,19.22,34.7,256.64
10-17,256.64,,29.84,38.48,21.74,24.8,43.7,36.68,28.4,21.02,35.6,15.26,36.68,22.28,22.46,34.52,37.4,33.08,40.82,33.26,36.5,26.42,23.54,36.5,36.14,36.68,31.64,30.38,23.0,39.2,40.46,41.18,37.22,31.82,42.08,39.92,35.78,35.24,39.38,32.72,22.406,30.506,37.166,40.928,15.26,35.69,256.64
10-18,256.64,34.34,22.28,38.3,20.12,33.62,40.28,36.5,26.96,26.96,38.84,30.92,34.7,26.96,26.06,36.32,35.24,32.18,42.44,29.66,39.2,16.88,19.04,40.1,39.92,34.16,28.76,32.36,19.76,39.38,39.38,37.94,38.84,32.54,27.14,41.9,38.12,34.88,38.48,32.36,21.848,30.164,38.408,40.136,16.88,34.7,256.64
10-19,31.46,33.08,29.66,38.66,26.06,31.1,35.78,36.68,24.08,26.42,28.22,32.9,33.8,31.64,25.52,34.52,32.9,32.18,42.44,30.74,32.0,17.96,31.28,36.68,39.2,35.06,35.6,35.24,24.44,40.46,36.32,27.14,40.82,29.66,25.34,42.26,24.26,37.76,39.02,35.24,25.16,30.092,35.708,39.452,17.96,32.9,42.44
10-20,31.28,29.84,28.4,35.78,20.12,21.02,35.6,28.22,24.44,24.08,31.1,14.9,32.54,33.98,30.56,34.7,35.42,30.02,41.54,,32.72,24.08,34.34,32.72,35.6,37.94,33.98,39.38,27.32,39.2,35.24,30.38,39.56,32.0,15.98,40.82,25.88,37.04,41.36,32.9,23.162,29.858,35.402,39.434,14.9,32.63,41.54
