date,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,10%,30%,70%,90%,Min,Median (POR),Max
10-01,,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,9.0
10-02,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,7.0
10-03,,0.0,1.0,0.0,0.0,1.0,0.0,,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,3.6,0.0,0.0,5.0
10-04,,4.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,3.5,0.0,0.0,6.0
10-05,,12.0,,,0.0,,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,12.0
10-06,,12.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0
10-07,,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0
10-08,,5.0,6.0,0.0,0.0,,0.0,1.0,2.0,1.0,6.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.6,0.0,0.0,8.0
10-09,7.0,4.0,2.0,0.0,2.0,,0.0,1.0,1.0,1.0,4.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.5,0.0,0.0,7.0
10-10,3.0,3.0,0.0,0.0,10.0,2.0,0.0,,2.0,,5.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.8,5.6,0.0,0.0,10.0
10-11,2.0,2.0,1.0,0.0,6.0,3.0,0.0,,3.0,,3.0,6.0,2.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,9.0
10-12,3.0,2.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,7.0,5.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.2,6.4,0.0,1.0,18.0
10-13,9.0,2.0,1.0,1.0,9.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,4.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,13.0
10-14,7.0,0.0,1.0,1.0,8.0,3.0,1.0,0.0,1.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,13.0
10-15,4.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,1.0,,,7.0,9.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.8,8.2,0.0,0.0,17.0
10-16,4.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,7.0,3.0,6.0,11.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,8.6,0.0,0.0,14.0
10-17,2.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,,,8.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,8.6,0.0,0.0,12.0
10-18,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,,,6.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,6.6,0.0,0.0,11.0
10-19,0.0,1.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0,22.0,12.0,4.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,4.0,9.4,0.0,1.0,22.0
10-20,1.0,1.0,1.0,1.0,3.0,3.0,0.0,7.0,0.0,19.0,8.0,7.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,3.2,8.4,0.0,1.0,19.0
10-21,1.0,0.0,,0.0,3.0,2.0,0.0,,0.0,,10.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,7.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,4.1,8.7,0.0,0.5,10.0
