iter,ll,accept,sd,spp,foc_sp,nei_sp
1,-1574.9095507221425,NA,0,0,Lupinus argenteus,Lupinus argenteus
1,-1574.9095507221425,NA,0,0,Ivesia gordonii,Lupinus argenteus
1,-1574.9095507221425,NA,0,0,Eriogonum umbellatum,Lupinus argenteus
1,-1574.9095507221425,NA,0,0,Heterotheca villosa,Lupinus argenteus
1,-1574.9095507221425,NA,0,0,Lupinus argenteus,Ivesia gordonii
1,-1574.9095507221425,NA,0,0,Ivesia gordonii,Ivesia gordonii
1,-1574.9095507221425,NA,0,0,Eriogonum umbellatum,Ivesia gordonii
1,-1574.9095507221425,NA,0,0,Heterotheca villosa,Ivesia gordonii
1,-1574.9095507221425,NA,0,0,Lupinus argenteus,Eriogonum umbellatum
1,-1574.9095507221425,NA,0,0,Ivesia gordonii,Eriogonum umbellatum
1,-1574.9095507221425,NA,0,0,Eriogonum umbellatum,Eriogonum umbellatum
1,-1574.9095507221425,NA,0,0,Heterotheca villosa,Eriogonum umbellatum
1,-1574.9095507221425,NA,0,0,Lupinus argenteus,Heterotheca villosa
1,-1574.9095507221425,NA,0,0,Ivesia gordonii,Heterotheca villosa
1,-1574.9095507221425,NA,0,0,Eriogonum umbellatum,Heterotheca villosa
1,-1574.9095507221425,NA,0,0,Heterotheca villosa,Heterotheca villosa
2,-1574.9095507221425,0,0,0,Lupinus argenteus,Lupinus argenteus
2,-1574.9095507221425,0,0,0,Ivesia gordonii,Lupinus argenteus
2,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Lupinus argenteus
2,-1574.9095507221425,0,0,0,Heterotheca villosa,Lupinus argenteus
2,-1574.9095507221425,0,0,0,Lupinus argenteus,Ivesia gordonii
2,-1574.9095507221425,0,0,0,Ivesia gordonii,Ivesia gordonii
2,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Ivesia gordonii
2,-1574.9095507221425,0,0,0,Heterotheca villosa,Ivesia gordonii
2,-1574.9095507221425,0,0,0,Lupinus argenteus,Eriogonum umbellatum
2,-1574.9095507221425,0,0,0,Ivesia gordonii,Eriogonum umbellatum
2,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
2,-1574.9095507221425,0,0,0,Heterotheca villosa,Eriogonum umbellatum
2,-1574.9095507221425,0,0,0,Lupinus argenteus,Heterotheca villosa
2,-1574.9095507221425,0,0,0,Ivesia gordonii,Heterotheca villosa
2,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Heterotheca villosa
2,-1574.9095507221425,0,0,0,Heterotheca villosa,Heterotheca villosa
3,-1574.9095507221425,0,0,0,Lupinus argenteus,Lupinus argenteus
3,-1574.9095507221425,0,0,0,Ivesia gordonii,Lupinus argenteus
