Year,Taxon,Stage,N.live,N.dead,N.NA
2014,Achnatherum lettermanii,L,11,0,0
2014,Achnatherum lettermanii,S,5,0,0
2015,Achnatherum lettermanii,L,14,0,0
2015,Achnatherum lettermanii,S,3,0,0
2016,Achnatherum lettermanii,L,17,0,0
2016,Achnatherum lettermanii,S,1,0,0
2017,Achnatherum lettermanii,L,16,0,0
2017,Achnatherum lettermanii,S,1,1,0
2018,Achnatherum lettermanii,L,14,0,0
2018,Achnatherum lettermanii,S,1,2,0
2019,Achnatherum lettermanii,L,8,0,0
2019,Achnatherum lettermanii,S,0,7,0
2020,Achnatherum lettermanii,L,6,0,0
2020,Achnatherum lettermanii,S,0,2,0
2021,Achnatherum lettermanii,L,4,0,0
2021,Achnatherum lettermanii,S,4,1,0
2022,Achnatherum lettermanii,L,12,0,0
2022,Achnatherum lettermanii,S,4,0,0
2014,Agoseris glauca,L,17,0,0
2014,Agoseris glauca,S,6,0,0
2015,Agoseris glauca,L,22,1,0
2015,Agoseris glauca,S,33,0,0
2016,Agoseris glauca,L,30,0,0
2016,Agoseris glauca,S,44,4,0
2017,Agoseris glauca,L,35,0,0
2017,Agoseris glauca,S,28,25,0
2018,Agoseris glauca,L,13,0,0
2018,Agoseris glauca,S,11,43,0
2019,Agoseris glauca,L,10,0,0
2019,Agoseris glauca,S,13,7,0
2020,Agoseris glauca,L,8,0,0
2020,Agoseris glauca,S,19,10,0
2021,Agoseris glauca,L,5,0,0
2021,Agoseris glauca,S,19,11,0
2022,Agoseris glauca,L,15,0,0
2022,Agoseris glauca,S,29,0,0
2014,Arenaria congesta,L,6,0,0
2014,Arenaria congesta,S,7,0,0
2015,Arenaria congesta,L,9,0,0
2015,Arenaria congesta,S,52,9,0
2016,Arenaria congesta,L,13,0,0
2016,Arenaria congesta,S,66,40,0
2017,Arenaria congesta,L,38,6,0
2017,Arenaria congesta,S,25,13,0
2018,Arenaria congesta,L,32,10,0
2018,Arenaria congesta,S,19,0,0
2019,Arenaria congesta,L,32,11,0
2019,Arenaria congesta,S,20,3,0
2020,Arenaria congesta,L,43,3,0
2020,Arenaria congesta,S,17,7,0
2021,Arenaria congesta,L,32,0,0
2021,Arenaria congesta,S,39,16,0
2022,Arenaria congesta,L,42,0,0
2022,Arenaria congesta,S,53,0,0
2014,Arnica latifolia,L,6,0,0
2015,Arnica latifolia,L,6,0,0
2015,Arnica latifolia,S,3,0,0
2016,Arnica latifolia,L,5,0,0
2016,Arnica latifolia,S,7,1,0
2017,Arnica latifolia,L,10,0,0
2017,Arnica latifolia,S,4,2,0
2018,Arnica latifolia,L,10,0,0
2018,Arnica latifolia,S,2,2,0
2019,Arnica latifolia,L,8,0,0
2019,Arnica latifolia,S,1,5,0
2020,Arnica latifolia,L,6,0,0
2020,Arnica latifolia,S,3,2,0
2021,Arnica latifolia,L,6,0,0
2021,Arnica latifolia,S,0,3,0
